block,address,filename,line
12331493,0x66a3c1809a53fb3ad938bf9c1e96ee84ac0da4a7,GazeLPStaking.sol,        if (staker.balance == 0) {
12331493,0x66a3c1809a53fb3ad938bf9c1e96ee84ac0da4a7,GazeLPStaking.sol,        if (staker.balance == 0 && staker.lastRewardPoints == 0 ) {
12331493,0x66a3c1809a53fb3ad938bf9c1e96ee84ac0da4a7,GazeLPStaking.sol,        if (staker.balance == 0 && staker.lastRewardPoints == 0 ) {
11590280,0x8f67838060b25bbacb917ec349cc825ec3a2b55c,GOF.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11406285,0x882017f6e83d9d64d3598e61f7071aec8d400938,LaunchContract.sol,"        require(address(this).balance == 0 , Transfer Failed);"
12756671,0x2cc4a6c6d5ff183d7e3c7e33e9bc10d55bdbaea8,LockedDeal.sol,"            SafeMath.add(beforeBalance, _ammount) == address(_Reciver).balance,"
10428156,0x56be8c403e511ddf179d35eb3a9fb0d0ff118de7,MarketAdapter.sol,"            address(this).balance == preCallBalance.sub(_orderAmount),"
13902330,0x91d9df372665b9d3881b15997189a4b8fa7f3f29,Marketplace.sol,        assert(address(this).balance == contractStartingBalance - amount);
13122785,0x984ac9911c6839a6870a1040a5fb89dd66513bc5,MightyManatees.sol,"        require(balance > 0 && address(this).balance == 0, 'Can not reset when users still need to claim');"
13704163,0x59e30dc53da642c8c2a905693fe02aadb34bcbf9,OGMilkCaps.sol,"        require(balance > 0 && address(this).balance == 0, 'Can not reset when users still need to claim');"
11427197,0x4b05cc8c9829bc594e0437c74aef56e17cf8ba23,PreSale.sol,"        require(address(this).balance == 0 , Transfer Failed);"
10151760,0x3904be4bfd2e0b864a0938e8db9eb2ae35af91f2,Reverter.sol,        require(amount - msg.value == address(this).balance);
12973396,0xa736589e0f0dca4aaa47972546637cc802c981df,SaleManager.sol,"        require(balance > 0 && address(this).balance == 0, 'Can not reset when users still need to claim');"
13902835,0xb563cf8aec51ad5bc5c23b17c7677faad5e7a2bf,SignatureBasedPeerToPeerMarkets.sol,			require(address(this).balance == 0);
13902835,0xb563cf8aec51ad5bc5c23b17c7677faad5e7a2bf,SignatureBasedPeerToPeerMarkets.sol,"			require(address(this).balance == 0, excess value);"
11387318,0xd8186d1c1ab9f637dbb0216fa384a1a816889105,SpaceMinePresale.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11569894,0x718141de19e51ca6e704c4b9346608236c00b781,SUSF.sol,"        require(address(this).balance == 0 , Transfer Failed);"
12756565,0xa46127b76d78cbf8a9d498d31a49eb29d13c64a0,ThePoolz.sol,"            SafeMath.add(beforeBalance, _ammount) == address(_Reciver).balance,"
11504528,0x665a6b80208a1f8eccb1ecb6d0271dde910c9ef1,UNIF.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11573094,0xf4fe39c99a31555fcd8409fbcb8d218b31c00632,YingYangBase.sol,"        require(address(this).balance == 0 , Transfer Failed);"
