block,address,filename,contract,solc,status,student
11036330,0xa866f0198208eb07c83081d5136be7f775c2399e,KORE.sol,KORE,0.6.12,untouched,
11792582,0xe6d4544f90da3e9611ea3b711df27f336cb41e2d,LionKing.sol,LionKing,0.6.12,untouched,
11746998,0xcb334a89e79499b16fae21f40cd1561fb092245f,LotteryToken.sol,LotteryToken,0.6.12,untouched,
12770643,0x9f7d29dbcf524b73ed923682314d73d8b264246e,MEXNFT.sol,MEXNFT,0.8.4,untouched,
11317872,0xbc392592b448720add99a30cd8a35cd76063e953,microCORE.sol,microCORE,0.6.12,untouched,
11190513,0x566b760581eaa09276af44187f7fcd26524d0995,miniCORE.sol,miniCORE,0.6.12,untouched,
10997383,0x05c77eae36bb6178faddb958b51bc37cc025ab82,MushieV2.sol,MushieV2,0.6.12,untouched,
11125556,0x12b28e6fffa7ff813b15b597d894d5ef5b0b7428,NANOCORE.sol,NANOCORE,0.6.12,untouched,
12819683,0x175695cd35e021b6f9dea64df6ace9ecfc43fb0b,PastryChef.sol,PastryChef,0.8.4,untouched,
9448853,0xae26a1488c38d187ff2f52ae59158edbedcb4069,Pathogen721.sol,Pathogen721,0.6.2,untouched,
11646198,0x3e33995883e5ab9911973c8f1023b82363f5e2ed,PORN.sol,PORN,0.6.12,untouched,
13022720,0x02560112988e2495261b8ff6f9dad64ee566a324,PulsesOfImagination.sol,PulsesOfImagination,0.8.0,untouched,
11047417,0xed0a54dc606272643790498a9f4fbb1defdeb349,RCORE.sol,RCORE,0.6.12,untouched,
13404806,0xbd70eeab519880994bd265a4175e51cebf739196,ReflectiveCollective.sol,ReflectiveCollective,0.8.7,untouched,
12289212,0xe65431431a1c5171be0cd88ee9f55611f06fe883,SmartFreezingContract.sol,SmartFreezingContract,0.6.6,untouched,
11259740,0xeaec893cbf019e8b44251f642904fa86ab59fd5c,SocketLGE.sol,SocketLGE,0.6.6,untouched,
11288365,0x7a3d5d49d64e57dbd6fbb21df7202bd3ee7a2253,TCORE.sol,TCORE,0.6.12,untouched,
10964278,0xa3042e8892818e8f9b6bb620e40f18a19dc296ad,TokenTimeLock.sol,TokenTimeLock,0.6.12,untouched,
10564729,0x50b2649b36f138aff008a9fc159867317a7a9b6a,TokenVesting.sol,TokenVesting,0.6.11,untouched,
10704092,0xce25b4271cc4d937a7d9bf75b2068a7892b9961d,UnipumpDefaults.sol,UnipumpDefaults,0.7.0,untouched,
12201449,0xb5c70ac5147ef7dbb060382f7a5c724c2bef070d,UniswapV2Exchange.sol,UniswapV2Exchange,0.8.0,untouched,
13164972,0xd03eef93f22a952dadb1fc06e102f0732823bc22,UnknownTrajectory.sol,UnknownTrajectory,0.8.0,untouched,
11070762,0x68f1b730614216e4e7c5205fe4862096796aac38,upcore.sol,upcore,0.6.12,untouched,
11225375,0xb97faf860045483e0c7f08c56acb31333084a988,Vanilla.sol,Vanilla,0.6.6,untouched,
12909300,0xf65d8f4a5c7956f40be2eae8171d62a6c97fab9c,WavesOnChain.sol,WavesOnChain,0.8.0,untouched,
11027699,0xb244ac0f3ee2e9cae5dfdde5dab8d49fa467e1a9,XCORE.sol,XCORE,0.6.12,untouched,
11524834,0x933817ba5dac86969f399998b87282189f28d3d1,YFEED.sol,YFEED,0.6.12,untouched,
